exp,neurons,lr,momentum,n_iter,time_s,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
1,32,0.001,0.5,106,2.36,0.9005424954792043,0.905448717948718,0.9172077922077922,0.9112903225806451,0.9068294889190411,0.9070691024622717,0.9277010560519903,0.9172690763052209
2,32,0.001,0.8,135,2.77,0.918625678119349,0.9187898089171974,0.9366883116883117,0.927652733118971,0.9258254183627318,0.9250996015936255,0.9431356620633631,0.9340305711987128
3,32,0.001,0.9,79,1.65,0.9195298372513563,0.9202551834130781,0.9366883116883117,0.9283990345937249,0.9258254183627318,0.9257781324820431,0.942323314378554,0.9339774557165862
4,32,0.01,0.5,49,1.22,0.918625678119349,0.9187898089171974,0.9366883116883117,0.927652733118971,0.9262777023971054,0.9258373205741627,0.9431356620633631,0.9344064386317907
5,32,0.01,0.8,258,5.62,0.9620253164556962,0.9629032258064516,0.9691558441558441,0.9660194174757282,0.968340117593849,0.9610802223987291,0.9829406986190089,0.9718875502008032
6,32,0.01,0.9,141,3.01,0.9620253164556962,0.9629032258064516,0.9691558441558441,0.9660194174757282,0.9656264133876075,0.9616306954436451,0.9772542648253453,0.9693795326349718
7,32,0.1,0.5,120,2.63,0.9647377938517179,0.9557661927330173,0.9821428571428571,0.9687750200160128,0.968340117593849,0.956726986624705,0.9878147847278635,0.9720223820943246
8,32,0.1,0.8,58,1.27,0.9566003616636528,0.9686468646864687,0.952922077922078,0.9607201309328969,0.9638172772501131,0.9652384801940178,0.9699431356620634,0.9675850891410048
9,32,0.1,0.9,44,0.91,0.9665461121157324,0.9544740973312402,0.987012987012987,0.9704708699122107,0.968340117593849,0.9545810493343775,0.9902518277822908,0.9720893141945773
10,64,0.001,0.5,177,6.58,0.9231464737793852,0.9248,0.9383116883116883,0.9315068493150684,0.9289914066033469,0.9248417721518988,0.9496344435418359,0.9370741482965932
11,64,0.001,0.8,84,3.05,0.9231464737793852,0.9261637239165329,0.9366883116883117,0.9313962873284907,0.9289914066033469,0.9248417721518988,0.9496344435418359,0.9370741482965932
12,64,0.001,0.9,53,1.9,0.9222423146473779,0.9246794871794872,0.9366883116883117,0.9306451612903226,0.9289914066033469,0.9248417721518988,0.9496344435418359,0.9370741482965932
13,64,0.01,0.5,37,1.35,0.9231464737793852,0.9261637239165329,0.9366883116883117,0.9313962873284907,0.9294436906377205,0.9255740300870943,0.9496344435418359,0.9374498797113071
14,64,0.01,0.8,66,2.37,0.9430379746835443,0.9510603588907015,0.9464285714285714,0.9487388120423108,0.9479873360470376,0.9449760765550239,0.9626320064987814,0.9537223340040242
15,64,0.01,0.9,43,1.79,0.9421338155515371,0.9554455445544554,0.939935064935065,0.9476268412438625,0.947535052012664,0.9477911646586346,0.958570268074736,0.9531502423263328
16,64,0.1,0.5,66,2.42,0.9584086799276673,0.9656862745098039,0.9594155844155844,0.9625407166123778,0.9629127091813658,0.9636803874092009,0.9699431356620634,0.9668016194331984
17,64,0.1,0.8,61,2.48,0.969258589511754,0.9648562300319489,0.9805194805194806,0.9726247987117552,0.9674355495251018,0.958102766798419,0.9845653939886271,0.9711538461538461
18,64,0.1,0.9,47,2.14,0.9620253164556962,0.9570063694267515,0.9756493506493507,0.9662379421221865,0.9674355495251018,0.9545098039215686,0.9886271324126726,0.9712689545091779
19,128,0.001,0.5,115,8.92,0.9195298372513563,0.9175911251980983,0.939935064935065,0.9286287089013633,0.9298959746720941,0.9242902208201893,0.9520714865962632,0.9379751900760304
20,128,0.001,0.8,59,4.64,0.9204339963833634,0.9203821656050956,0.9383116883116883,0.9292604501607717,0.9303482587064676,0.9250197316495659,0.9520714865962632,0.9383506805444356
21,128,0.001,0.9,40,3.09,0.9195298372513563,0.9202551834130781,0.9366883116883117,0.9283990345937249,0.9303482587064676,0.9250197316495659,0.9520714865962632,0.9383506805444356
22,128,0.01,0.5,194,13.91,0.9529837251356239,0.9533762057877814,0.9626623376623377,0.9579967689822294,0.9597467209407508,0.9524564183835182,0.9764419171405362,0.9643000401123145
23,128,0.01,0.8,126,9.1,0.961121157323689,0.9658536585365853,0.9642857142857143,0.9650690495532088,0.9651741293532339,0.9608626198083067,0.9772542648253453,0.9689891260571889
24,128,0.01,0.9,77,5.35,0.9620253164556962,0.9629032258064516,0.9691558441558441,0.9660194174757282,0.9647218453188603,0.9579030976965845,0.9796913078797725,0.9686746987951808
25,128,0.1,0.5,54,3.47,0.9647377938517179,0.9706362153344209,0.9659090909090909,0.96826688364524,0.9638172772501131,0.9629927594529365,0.9723801787164906,0.967663702506063
26,128,0.1,0.8,46,2.97,0.9638336347197106,0.9752475247524752,0.9594155844155844,0.967266775777414,0.9611035730438715,0.9665851670741646,0.9634443541835905,0.9650122050447518
27,128,0.1,0.9,57,3.98,0.9683544303797469,0.9693053311793215,0.974025974025974,0.97165991902834,0.9701492537313433,0.9693795326349718,0.9772542648253453,0.9733009708737864
